epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0656,2.60329,8.80324,1.00385,0.55934,0.14489,0.2611,0.19419,2.1586,5.74187,0.8989,0.000472612,0.000472612,0.000472612
2,112.145,2.31673,5.32508,0.87776,0.82606,0.44674,0.48447,0.291,1.88997,4.06742,0.80763,0.000930156,0.000930156,0.000930156
3,165.12,2.26156,4.57482,0.88338,0.78562,0.52041,0.60875,0.42475,1.68072,3.26982,0.75142,0.00136884,0.00136884,0.00136884
4,218.491,2.2765,4.09235,0.86245,0.72035,0.52551,0.6103,0.42987,1.87125,2.83731,0.76484,0.00134412,0.00134412,0.00134412
5,271.527,2.24091,3.43246,0.85885,0.72994,0.52459,0.62543,0.4236,1.81918,2.64365,0.79522,0.00131582,0.00131582,0.00131582
6,324.655,2.24528,3.05642,0.86223,0.77488,0.54322,0.65173,0.40036,1.81745,2.39326,0.78099,0.00128753,0.00128753,0.00128753
7,378.197,2.20052,2.69888,0.83915,0.789,0.4949,0.60094,0.37197,1.83088,2.45269,0.76395,0.00125923,0.00125923,0.00125923
8,431.486,2.0517,2.52047,0.84995,0.89006,0.52551,0.63956,0.42462,1.74912,1.94459,0.77067,0.00123094,0.00123094,0.00123094
9,486.694,2.03931,2.32922,0.82293,0.84381,0.5,0.64217,0.37004,1.69507,1.89278,0.7459,0.00120265,0.00120265,0.00120265
10,537.951,2.08834,2.19711,0.83276,0.86363,0.54324,0.6149,0.39154,1.72906,1.83276,0.75168,0.00117435,0.00117435,0.00117435
11,589.211,1.9613,2.02883,0.83231,0.57421,0.45918,0.54802,0.32417,1.65197,1.88218,0.73064,0.00114606,0.00114606,0.00114606
12,641.56,2.05996,2.1647,0.83245,0.89153,0.53518,0.66489,0.47551,1.64508,1.69526,0.72461,0.00111776,0.00111776,0.00111776
13,693.441,1.84439,1.80985,0.81976,0.83154,0.4898,0.62859,0.46738,1.58284,1.81157,0.73779,0.00108947,0.00108947,0.00108947
14,745.02,1.91131,1.79746,0.81379,0.87495,0.52944,0.65807,0.47192,1.56094,1.46849,0.71814,0.00106118,0.00106118,0.00106118
15,796.467,1.96346,1.7675,0.81118,0.81969,0.54592,0.64561,0.46668,1.71657,1.59038,0.74259,0.00103288,0.00103288,0.00103288
16,845.406,1.88787,1.58899,0.81305,0.83362,0.55102,0.66351,0.48248,1.56421,1.37079,0.73404,0.00100459,0.00100459,0.00100459
17,895.109,1.80931,1.56197,0.80857,0.95953,0.49937,0.63892,0.4722,1.47909,1.39773,0.71331,0.000976293,0.000976293,0.000976293
18,948.36,1.85578,1.54589,0.80402,0.93951,0.52551,0.66956,0.51168,1.52502,1.35165,0.72481,0.000947999,0.000947999,0.000947999
19,1000.22,1.84186,1.55767,0.80474,0.94791,0.54592,0.66091,0.48346,1.51972,1.3987,0.72916,0.000919704,0.000919704,0.000919704
20,1051.33,1.79585,1.47904,0.81191,0.9167,0.5233,0.67297,0.53919,1.34512,1.27111,0.71065,0.00089141,0.00089141,0.00089141
21,1103.18,1.80755,1.50008,0.78871,0.84051,0.55469,0.67649,0.50831,1.47945,1.2994,0.72086,0.000863116,0.000863116,0.000863116
22,1153.05,1.75079,1.46237,0.79393,0.90276,0.55102,0.67325,0.52784,1.45367,1.29137,0.71911,0.000834822,0.000834822,0.000834822
23,1202.6,1.76773,1.39803,0.78209,0.87571,0.54592,0.67757,0.52201,1.42082,1.29345,0.70443,0.000806528,0.000806528,0.000806528
24,1253.97,1.70351,1.41891,0.79436,0.89357,0.58694,0.69668,0.52878,1.42609,1.17466,0.71172,0.000778233,0.000778233,0.000778233
25,1305.25,1.85673,1.46239,0.78844,0.8314,0.58163,0.68928,0.48199,1.46276,1.29193,0.70708,0.000749939,0.000749939,0.000749939
26,1355.82,1.78779,1.37825,0.80609,0.85621,0.52174,0.66496,0.50268,1.3842,1.27496,0.70034,0.000721645,0.000721645,0.000721645
27,1405.34,1.71656,1.36887,0.77486,0.85984,0.57097,0.67892,0.5505,1.29437,1.2204,0.70207,0.000693351,0.000693351,0.000693351
28,1455.23,1.70086,1.25177,0.78748,0.8922,0.56633,0.68774,0.51899,1.47226,1.21402,0.71089,0.000665057,0.000665057,0.000665057
29,1504.83,1.71417,1.43294,0.77646,0.95236,0.55102,0.6757,0.52172,1.41102,1.20913,0.7033,0.000636762,0.000636762,0.000636762
30,1555.11,1.68762,1.2621,0.77341,0.82675,0.57143,0.68972,0.52532,1.44242,1.12711,0.70359,0.000608468,0.000608468,0.000608468
31,1605.39,1.6945,1.37541,0.78958,0.89344,0.61495,0.7066,0.54907,1.38984,1.14497,0.70643,0.000580174,0.000580174,0.000580174
32,1655.18,1.62796,1.17058,0.78649,0.8907,0.56633,0.67241,0.50376,1.42225,1.21835,0.71474,0.00055188,0.00055188,0.00055188
33,1705.48,1.57846,1.18183,0.78023,0.82932,0.56633,0.70208,0.53204,1.34819,1.13385,0.69814,0.000523586,0.000523586,0.000523586
34,1754.83,1.63099,1.24049,0.77751,0.81775,0.56633,0.68451,0.54695,1.35339,1.24678,0.69796,0.000495291,0.000495291,0.000495291
35,1806.22,1.64538,1.21662,0.78041,0.89004,0.56633,0.69923,0.54051,1.41195,1.19068,0.70461,0.000466997,0.000466997,0.000466997
36,1856.75,1.58061,1.16256,0.78017,0.87504,0.56633,0.69138,0.54928,1.31236,1.1198,0.69663,0.000438703,0.000438703,0.000438703
37,1909.54,1.53427,1.1482,0.78555,0.90522,0.57653,0.70668,0.55982,1.36878,1.10408,0.70008,0.000410409,0.000410409,0.000410409
38,1958.37,1.62666,1.16848,0.77117,0.89448,0.59955,0.71929,0.56745,1.32244,1.07847,0.69854,0.000382115,0.000382115,0.000382115
39,2005.94,1.692,1.18984,0.77803,0.89832,0.60646,0.71284,0.54943,1.36579,1.048,0.69665,0.00035382,0.00035382,0.00035382
40,2051.66,1.61073,1.15513,0.7788,0.83726,0.61376,0.71355,0.57564,1.28584,1.0415,0.69248,0.000325526,0.000325526,0.000325526
41,2097.08,1.60634,1.23743,0.78306,0.85432,0.58673,0.71592,0.54497,1.39854,1.16913,0.70142,0.000297232,0.000297232,0.000297232
42,2143.27,1.51757,1.16495,0.77661,0.88788,0.58673,0.69839,0.53944,1.37441,1.14946,0.69956,0.000268938,0.000268938,0.000268938
43,2188.64,1.56471,1.17113,0.78397,0.8533,0.57653,0.70868,0.5566,1.30512,1.09467,0.69698,0.000240644,0.000240644,0.000240644
44,2235.94,1.51247,1.13997,0.76805,0.89752,0.57143,0.70464,0.5442,1.36118,1.11489,0.69752,0.000212349,0.000212349,0.000212349
45,2278.55,1.49252,1.14489,0.77891,0.89404,0.57653,0.70987,0.57546,1.31319,1.13024,0.6952,0.000184055,0.000184055,0.000184055
46,2323.74,1.46451,1.09527,0.75389,0.73001,0.64519,0.71085,0.55398,1.32991,1.1053,0.69253,0.000155761,0.000155761,0.000155761
47,2364.84,1.52574,1.10431,0.77893,0.83646,0.58163,0.70697,0.5784,1.2719,1.10103,0.69059,0.000127467,0.000127467,0.000127467
48,2412.46,1.55328,1.16013,0.78952,0.82866,0.59184,0.71249,0.58474,1.24973,1.10173,0.69289,9.91726e-05,9.91726e-05,9.91726e-05
49,2455.23,1.51766,1.10819,0.75617,0.76152,0.67095,0.71218,0.5784,1.29366,1.12321,0.69273,7.08784e-05,7.08784e-05,7.08784e-05
50,2500.12,1.43614,1.08921,0.76002,0.74366,0.67042,0.71456,0.58827,1.2879,1.11069,0.69067,4.25842e-05,4.25842e-05,4.25842e-05
